width_substrate_mm,width_imp_line_mm,length_imp_line_mm,substrate_height_mm,patch_height_mm,width_slot_mm,length_slot_mm,patch_width_mm,substrate_length_mm,patch_length_mm,frequency_GHz,S11_dB
44,3,9,1.6,0.035,2,8,42,38,29.3,1.7999999523163,-0.058988633091261
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8009999990463,-0.063706531642095
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8020000457764,-0.068245073382524
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8029999732971,-0.072568932249117
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8040000200272,-0.076647817143775
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8049999475479,-0.080453490410422
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8059999942780,-0.083958657758616
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8070000410080,-0.087141264066171
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8079999685287,-0.089979141416584
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8090000152588,-0.092456028062987
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8099999427795,-0.094556663196802
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8109999895096,-0.096271361085375
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8120000362396,-0.097591291058395
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8129999637604,-0.098512157641751
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8140000104904,-0.099032746387436
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8150000572205,-0.099155317262989
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8159999847412,-0.098884495725008
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8170000314713,-0.098230158993198
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8179999589920,-0.097201908711716
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8190000057220,-0.095815307407781
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8200000524521,-0.094086949706598
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8209999799728,-0.092035595351258
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8220000267029,-0.089684089876994
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8229999542236,-0.087054825766436
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8240000009537,-0.084174257686172
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8250000476837,-0.081069411162305
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8259999752045,-0.077768325185842
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8270000219345,-0.074301939475168
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8279999494553,-0.070698732165637
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8289999961853,-0.066990552984363
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8300000429153,-0.063208664611736
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8309999704361,-0.059385012053637
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8320000171661,-0.055549539857819
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8329999446869,-0.051733737885499
