,with_frequency,geometry_only
frequency_GHz,0.7995299904385705,
length_imp_line_mm,0.05025491463161339,0.34184111333813955
length_slot_mm,0.04083067391966032,0.25643909331066767
patch_height_mm,0.0,0.0
patch_length_mm,0.004731790926210152,0.002352312058364853
patch_width_mm,0.000807010354023168,0.0018297913757476204
substrate_height_mm,0.0,0.0
substrate_length_mm,0.0187415919697625,0.04275250424304588
width_imp_line_mm,0.0,0.0
width_slot_mm,0.06397976570828218,0.3201883512568752
width_substrate_mm,0.021124262051877705,0.03459683441715915
