rep,n_geometries,Model,RMSE,MAE,R2
0,5,KNN (k=5),2.0302094488590594,0.604179365639385,0.6537172672818776
0,5,Random Forest (150),2.0282415926703976,0.6481836690189965,0.6543882368372955
0,5,XGBoost,2.1898815464090124,0.7061182738231698,0.5971063759712093
0,10,KNN (k=5),2.3015523850765223,0.6740313594857225,0.5549683739015414
0,10,Random Forest (150),1.876598607964071,0.5567251755052428,0.7041361349627828
0,10,XGBoost,1.9556935026782716,0.5887561458830974,0.6786704006272812
0,15,KNN (k=5),1.4974316812253474,0.4741520658058539,0.8116163612719088
0,15,Random Forest (150),1.5334744383225438,0.47296992169223523,0.802438539148975
0,15,XGBoost,1.3519918983138952,0.405720071247044,0.8464332033958987
0,20,KNN (k=5),1.849470277005708,0.5115047531974346,0.7126283914284706
0,20,Random Forest (150),1.4967894910223536,0.41229129266449327,0.8117779074543563
0,20,XGBoost,1.3728604288475301,0.34322052121119995,0.8416558872030776
0,25,KNN (k=5),0.9823564924754501,0.2831272391672825,0.9189249199256639
0,25,Random Forest (150),0.9299088201071941,0.2661426911209478,0.9273509598562834
0,25,XGBoost,0.9034506142015729,0.24980351678974858,0.9314262370716554
0,30,KNN (k=5),1.2086245679574623,0.3429454490139569,0.8772752989936238
0,30,Random Forest (150),1.2605020523747907,0.31525922821334934,0.8665138335097206
0,30,XGBoost,1.0229171825445478,0.2725698867172766,0.9120916569556777
0,35,KNN (k=5),1.247175047097545,0.30568601593714684,0.8693215505018428
0,35,Random Forest (150),1.1036859092688533,0.26424327913361145,0.8976612418505908
0,35,XGBoost,0.9418520023119384,0.22376091256465616,0.9254728562027921
0,42,KNN (k=5),1.1380284290353735,0.28037482616819354,0.8911933675175459
0,42,Random Forest (150),1.0283539961234525,0.253450577104097,0.9111547064139951
0,42,XGBoost,0.8278037944617098,0.2093562194458317,0.9424289736053668
1,5,KNN (k=5),2.2343753117465757,0.7983105400689979,0.6766139779614226
1,5,Random Forest (150),1.9506104045637485,0.7641732076677953,0.753537943010658
1,5,XGBoost,1.8042546712871899,0.6982431354939242,0.7891349162424804
1,10,KNN (k=5),1.3408021552934473,0.3713595665737263,0.8835502944363797
1,10,Random Forest (150),1.5418663806586153,0.4256878504579167,0.846006470129966
1,10,XGBoost,1.7444397193624814,0.535872759245886,0.8028844304473299
1,15,KNN (k=5),1.640149592323188,0.46403827883068,0.8257487442035788
1,15,Random Forest (150),1.5916221344245975,0.48482101516905873,0.8359074226704533
1,15,XGBoost,1.6745638106170755,0.5021954652355339,0.8183596213128387
1,20,KNN (k=5),1.3881631035922386,0.3738219586395818,0.875178329659192
1,20,Random Forest (150),1.460200286446545,0.4175188671541952,0.8618872239618761
1,20,XGBoost,1.5004658385163547,0.41031213455611953,0.8541651832209558
1,25,KNN (k=5),1.2807443870537984,0.34656527362106526,0.8937487817067413
1,25,Random Forest (150),1.321018039037432,0.34195902524072186,0.8869614723174186
1,25,XGBoost,1.201439589523955,0.2951766879298511,0.9064997282322128
1,30,KNN (k=5),1.436983289231326,0.41806905275347894,0.8662442590735515
1,30,Random Forest (150),1.5189358064802974,0.41874208668077395,0.8505527816251135
1,30,XGBoost,1.2879643798578178,0.33602050263911587,0.8925474563923296
1,35,KNN (k=5),1.4359499649293184,0.4159404554311473,0.8664365554832065
1,35,Random Forest (150),1.2359382827135628,0.3169466084749251,0.9010530150757878
1,35,XGBoost,1.2352697930453083,0.31361496028889246,0.901160022278189
1,42,KNN (k=5),1.2598102711968988,0.3481635226389974,0.8971938049964179
1,42,Random Forest (150),1.3482772120010633,0.3406765352611942,0.882248246096594
1,42,XGBoost,1.1216372542404671,0.2639716716558784,0.918508211914135
2,5,KNN (k=5),1.787807209432648,0.5066338449629447,0.7929788205867725
2,5,Random Forest (150),1.8043174428627122,0.5155636798874839,0.7891375223893319
2,5,XGBoost,1.7707634593365482,0.4884698868583887,0.7969072066576256
2,10,KNN (k=5),1.6380540353159332,0.5207887378220897,0.8262079692955118
2,10,Random Forest (150),1.5109282102418804,0.40355609331804987,0.8521364701082896
2,10,XGBoost,1.3171755453193101,0.39396701716873267,0.8876273227492965
2,15,KNN (k=5),1.7675812318008979,0.49448043162211447,0.7976365042454447
2,15,Random Forest (150),1.3773193512108388,0.38094193222601686,0.8771308911012311
2,15,XGBoost,1.3800884552434916,0.3758644281429099,0.8766363371422511
2,20,KNN (k=5),1.2429444706800126,0.3262351561866866,0.899936229537023
2,20,Random Forest (150),1.257630195025057,0.350382716120421,0.8975576996715001
2,20,XGBoost,1.0725672593498845,0.27693025061325216,0.9254886415161745
2,25,KNN (k=5),1.1118663358128063,0.31809623543261645,0.9199283878964918
2,25,Random Forest (150),1.2331794902946913,0.3348793043158602,0.9015023211651942
2,25,XGBoost,1.2631898159407968,0.33246802179105234,0.8966499618567312
2,30,KNN (k=5),1.1775854879162866,0.32692110427231214,0.9101830506972356
2,30,Random Forest (150),1.15339578038987,0.3224121465849904,0.9138351519606933
2,30,XGBoost,1.071544236040604,0.26596775599386085,0.9256307127997708
2,35,KNN (k=5),1.120241489141873,0.29275553140337945,0.9187175629877381
2,35,Random Forest (150),1.1089089803261554,0.27350412034295507,0.9203537723005701
2,35,XGBoost,0.9530330454114672,0.22085614372079382,0.9411712894737108
2,42,KNN (k=5),1.153879581980857,0.3203558030807768,0.9137628516554651
2,42,Random Forest (150),1.073035405146903,0.2882959585326206,0.9254235830472514
2,42,XGBoost,0.9701589550107178,0.22670291851357735,0.9390380004391291
3,5,KNN (k=5),2.1582692868994324,0.808749559151453,0.5809701824734641
3,5,Random Forest (150),1.9996641484611428,0.719431458247858,0.6402939128505621
3,5,XGBoost,2.250332815761797,0.8691985897505525,0.544459311958047
3,10,KNN (k=5),1.8606103927426716,0.5811480649077869,0.6885813974383702
3,10,Random Forest (150),1.5864840556837974,0.4299480759580718,0.7735850549120968
3,10,XGBoost,1.6763159297904437,0.508301362807077,0.7472184277222773
3,15,KNN (k=5),1.8057695880105282,0.5257966945806388,0.7066687481061509
3,15,Random Forest (150),1.5765472045390547,0.402640252692692,0.7764124463258699
3,15,XGBoost,1.6063474436866731,0.4032007440959429,0.7678799584479434
3,20,KNN (k=5),1.9184652333009413,0.606392076302195,0.6689134539977692
3,20,Random Forest (150),1.7459677017761799,0.5078974021089604,0.7257756108613764
3,20,XGBoost,1.7960764647856478,0.5071115286011696,0.7098094198484863
3,25,KNN (k=5),1.5681923430683367,0.41809745497563705,0.7787759571868251
3,25,Random Forest (150),1.5422282894722927,0.35549477140677144,0.7860407843698295
3,25,XGBoost,1.7348474235722922,0.4306709607301104,0.7292576229659696
3,30,KNN (k=5),1.826800988938832,0.5827395656233992,0.6997962294076236
3,30,Random Forest (150),1.6194674790835197,0.42657263785496746,0.7640727371609742
3,30,XGBoost,1.7075251028621472,0.45001013934076634,0.7377183779494845
3,35,KNN (k=5),1.856342995279237,0.5910357027221453,0.6900082656947626
3,35,Random Forest (150),1.6482549923610657,0.4593043081245136,0.755610543061994
3,35,XGBoost,1.6833510496772195,0.44632033906300544,0.7450922410069858
3,42,KNN (k=5),1.796878369532778,0.5506746534549484,0.709550235836018
3,42,Random Forest (150),1.5531037883437069,0.37929188701023586,0.7830125456875812
3,42,XGBoost,1.6425981526493667,0.39580178982054864,0.7572851621683971
4,5,KNN (k=5),2.4183896597385157,0.7960299628973573,0.608059853263156
4,5,Random Forest (150),2.217121959805009,0.6483554899507007,0.6705827302618037
4,5,XGBoost,2.043942545111355,0.6414882894900203,0.7200344697291762
4,10,KNN (k=5),1.993907194717298,0.5333843697085331,0.7335737099981952
4,10,Random Forest (150),1.5839725432578358,0.44135071157180433,0.8318633095029618
4,10,XGBoost,1.861367982844352,0.5060463109652389,0.7678163280928478
4,15,KNN (k=5),1.7240416803202743,0.46766607035787816,0.8008122075180362
4,15,Random Forest (150),1.6933430187791674,0.47320691028343176,0.8078426151651951
4,15,XGBoost,1.8545446138180544,0.5183029766191211,0.7695154774140047
4,20,KNN (k=5),1.4981991891282125,0.36646255487492563,0.8495797480738603
4,20,Random Forest (150),1.395097981245571,0.3798265058620111,0.8695702635011053
4,20,XGBoost,1.4596225416144355,0.39311598359165467,0.8572262653563394
4,25,KNN (k=5),1.5170822550496827,0.38914754166601623,0.8457641065996169
4,25,Random Forest (150),1.43051787640465,0.37227670765049026,0.8628632746114058
4,25,XGBoost,1.5180234658588483,0.39963258713829536,0.8455726686977723
4,30,KNN (k=5),1.663668771891383,0.3743475038415553,0.8145183606180728
4,30,Random Forest (150),1.3374184578780337,0.3286866668146743,0.8801323967637026
4,30,XGBoost,1.4263769886845608,0.3451649260344827,0.8636560586716118
4,35,KNN (k=5),1.4308337774113478,0.3142074121291337,0.8628027001667602
4,35,Random Forest (150),1.6734950510572408,0.4071449359841294,0.8123208356328402
4,35,XGBoost,1.4101156241914685,0.38211967634967225,0.8667471073018191
4,42,KNN (k=5),1.3969788351877934,0.2907492362390224,0.8692183388971018
4,42,Random Forest (150),1.5309569385223234,0.3371036802222712,0.8429300349368337
4,42,XGBoost,1.3762012019957095,0.3372443245593464,0.8730797081721385
