g,f_res_GHz,S11_min_dB,width_substrate_mm,width_imp_line_mm,length_imp_line_mm,substrate_height_mm,patch_height_mm,width_slot_mm,length_slot_mm,patch_width_mm,substrate_length_mm,patch_length_mm
35,2.3970000743866,-61.784445329333,41,3,3,1.6,0.035,1,7,42,41,29.3
6,2.4100000858307,-44.167741408399,42,3,9,1.6,0.035,2,8,42,40,29.3
37,2.3940000534058,-38.68661580855,41,3,3,1.6,0.035,1,8,42,38,29.3
14,2.4260001182556,-38.409999273568,45,3,8,1.6,0.035,2,8,42,40,29.3
13,2.3900001049042,-36.90173593795,45,3,7,1.6,0.035,2,8,42,40,29.3
36,2.3980000019073,-35.993885930802,41,3,3,1.6,0.035,1,7,42,42,29.3
7,2.4030001163483,-34.081850674315,43,3,9,1.6,0.035,2,8,42,40,29.3
34,2.3949999809265,-33.022843236116,41,3,3,1.6,0.035,1,7,42,40,29.3
5,2.4200000762939,-29.994411043104,41,3,9,1.6,0.035,2,8,42,40,29.3
12,2.3889999389648,-27.812491098665,45,3,6,1.6,0.035,2,8,42,40,29.3
38,2.3949999809265,-27.359127727739,41,3,3,1.6,0.035,1,8,42,39,29.3
4,2.4000000953674,-26.740244578527,44,3,9,1.6,0.035,2,8,42,40,29.3
33,2.3949999809265,-26.469293807126,41,3,3,1.6,0.035,1,7,42,39,29.3
31,2.3980000019073,-24.879161259311,41,3,3,1.6,0.035,1,6,42,42,29.3
11,2.385999917984,-24.133015732301,45,3,5,1.6,0.035,2,8,42,40,29.3
20,2.4470000267029,-23.51289943759,45,3,10,1.6,0.035,5,7,42,40,29.3
39,2.3949999809265,-23.502986944529,41,3,3,1.6,0.035,1,8,42,40,29.3
8,2.4010000228882,-23.454181331496,45,3,9,1.6,0.035,2,8,42,40,29.3
30,2.3959999084473,-22.576354273032,41,3,3,1.6,0.035,1,6,42,40,29.3
32,2.3940000534058,-22.114634008256,41,3,3,1.6,0.035,1,7,42,38,29.3
10,2.385999917984,-21.85497796376,45,3,4,1.6,0.035,2,8,42,40,29.3
40,2.3970000743866,-21.123783788962,41,3,3,1.6,0.035,1,8,42,41,29.3
9,2.3840000629425,-19.998909269943,45,3,3,1.6,0.035,2,8,42,40,29.3
41,2.3980000019073,-19.681770833663,41,3,3,1.6,0.035,1,8,42,42,29.3
42,2.3910000324249,-18.601334752652,41,3,3,1.6,0.035,1,9,42,38,29.3
19,2.4519999027252,-18.581929361413,45,3,10,1.6,0.035,5,6,42,40,29.3
0,2.4730000495911,-18.541775145157,44,3,9,1.6,0.035,2,8,42,38,29.3
29,2.3940000534058,-18.426548199326,41,3,3,1.6,0.035,1,6,42,39,29.3
1,2.3829998970032,-18.377237901985,44,3,3,1.6,0.035,2,8,42,40,29.3
15,2.4200000762939,-18.15469827289,45,3,10,1.6,0.035,2,8,42,40,29.3
26,2.3970000743866,-18.083089261324,43,3,9,1.6,0.035,2,9,42,40,29.3
25,2.404000043869,-17.088875132172,43,3,9,1.6,0.035,2,7,42,40,29.3
16,2.4319999217987,-16.730258868146,45,3,8,1.6,0.035,4,8,42,40,29.3
43,2.3919999599457,-16.64990747909,41,3,3,1.6,0.035,1,9,42,39,29.3
28,2.3940000534058,-16.38999103207,41,3,3,1.6,0.035,1,6,42,38,29.3
44,2.3919999599457,-15.361728291361,41,3,3,1.6,0.035,1,9,42,40,29.3
2,2.3959999084473,-14.768047822382,44,3,9,1.6,0.035,1,8,42,40,29.3
45,2.3940000534058,-14.38401025269,41,3,3,1.6,0.035,1,9,42,41,29.3
24,2.404000043869,-12.555921394828,43,3,9,1.6,0.035,2,6,42,40,29.3
46,2.3870000839233,-12.295366808278,41,3,3,1.6,0.035,1,10,42,38,29.3
3,2.4030001163483,-11.700381621327,44,3,9,1.6,0.035,2,6,42,40,29.3
18,2.4509999752045,-11.685655133294,45,3,10,1.6,0.035,5,5,42,40,29.3
47,2.3880000114441,-11.340509059496,41,3,3,1.6,0.035,1,10,42,39,29.3
49,2.3910000324249,-11.132181757703,41,3,4,1.6,0.035,2,9,40,42,29.3
17,2.4379999637604,-10.776960574501,45,3,10,1.6,0.035,5,8,42,40,29.3
27,2.3919999599457,-10.547480191604,43,3,9,1.6,0.035,2,10,42,40,29.3
50,2.3949999809265,-10.257995278342,41,3,4,1.6,0.035,2,9,41,42,29.3
23,2.4030001163483,-10.097312622699,43,3,9,1.6,0.035,2,5,42,40,29.3
51,2.404000043869,-8.8557287471496,41,3,4,1.6,0.035,2,9,43,42,29.3
52,2.4059998989105,-8.3291901908807,41,3,4,1.6,0.035,2,9,44,42,29.3
48,2.4800000190735,-7.3611952478712,41,3,4,1.6,0.035,2,9,42,42,28.0
21,2.4249999523163,-5.2438245034886,45,3,10,1.6,0.035,5,9,42,40,29.3
22,2.4089999198914,-2.0414091459018,45,3,10,1.6,0.035,5,10,42,40,29.3
